Bonaventura de Castello	<Bonaventura Castelli>	Recepta aquae balnei de Porrecta
Bonvicinus de Ripa	<Bonvesin de la Riva>	De magnalibus urbis Mediolani
Boschinus de Angleria	<Boschino d'Anghiera>	De situ et salubritate aeris civitatis Mediolani
Burchardus Argentinensis	<Burchard von Strassburg, Burcardo di Strasburgo>	Relatio de itinere in Terram Sanctam
Burchardus de Monte Sion	<Burchardus Theutonicus, Burcardo del Monte Sion>	Descriptio Terrae Sanctae
Christophorus Bondelmontius	<Cristoforo Buondelmonti, Cristoforo de' Buondelmonti, Cristoforo dei Buondelmonti, Cristoforo Bondelmonti, Cristophoro Buondelmonti, Cristoforo Bondelmonti>	Descriptio insule Crete
Christophorus Bondelmontius	<Cristoforo Buondelmonti, Cristoforo de' Buondelmonti, Cristoforo dei Buondelmonti, Cristoforo Bondelmonti, Cristophoro Buondelmonti, Cristoforo Bondelmonti>	Liber insularum archipelagi
Christophorus Columbus	<Cristoforo Colombo>	Epistola de insulis nuper inventis
Conradus Bitschin	<Konrad Bitschin>	Petri de Dusburg Chronici terrae Prussiae continuatio
Conradus Celtis	<Conrad Celtes>	De origine, situ, moribus et institutis Norimbergae libellus
Conradus Coci de Wimpina	<Konrad Koch>	Descriptio universitatis et urbis Lipsiensis
Conradus Tigurinus	<Conrad Türst>	De situ Confoederatorum descriptio
Constabulus	<Qusta ibn Luqa, Costa ben Luca>	De locis habitabilibus
Cyriacus Anconitanus	<Ciriaco de' Pizzicolli, Ciriaco d'Ancona>	Itinerarium
Dermatius Hiberniensis	<Dermazio>	Itineraria seu exhortatoria proficiscentis Jerusalem
Dicuil Hibernicus	<Dicuilus, Dichull, Dicul>	Liber de mensura orbis terrarum
Dominicus Machnaeus	<Domenico Macaneo>	Chorographya Verbani lacus
Dominicus Silvestri de Florentia	<Domenico di Silvestro>	De insulis et earum proprietatibus
Domnius de Cranchis	<Doymus de Cranchis, Domnus de Cranchis, Dodinusì de Cranchis, Dujam Kranković, Dujam Krančić, Dujam Hranković>	Bracie insulae descriptio
Dynamius Patricius	<Dinamio Agiografo>	De Lerine insula
Engelhardus Scintilla	<Engelhard Scintilla, Engelhard Funk>	Descriptio opidi patrii Suobacensis elegantissima
Erasmus Stella	<SJohannes Stüler>	De origine, vetustate, appellatione et regionibus Tubantinorum, Cygneorum, Libanothanorum, Misnensium, nec non Molbii fluminis descriptione
Felix Fabri	<Felix Schmid, Faber>	Descriptio Theutoniae, Sveviae et civitatis Ulmensis
Felix Fabri	<Felix Schmid, Faber>	Evagatorium in Terrae sanctae, Arabiae et Egypti peregrinationem
Franceschinus de Pontremulo	<Franceschino da Pontremoli>	Itinerarium in Terram Sanctam
Franciscus Petrarcha	<Francesco Petrarca>	Itineriarum breve de Ianua usque ad Ierusalem et Terram Sanctam
Franciscus Pipinus	<Francesco Pipino>	Chronicon
Franciscus Pipinus	<Francesco Pipino>	Liber Marci Pauli de Veneciis de consuetudinibus et condicionibus orientalium regionum
Franciscus Pipinus	<Francesco Pipino>	Tractatus de locis Terrae Sanctae anno 1320 visitatis
Franciscus de Albertinis	<Francesco Albertini>	Opusculum de mirabilibus novae et veteris urbis Romae
Franciscus de Albertinis	<Francesco Albertini>	Septem mirabilia orbis et urbis Romae et Florentinae civitatis
Frater Mauritius	<Maurice Csák>	Itinerarium in Terram Sanctam
Fridericus de Fulgineo	<Federico Frezzi da Foligno>	Epistola ad Iacobum II Aragonie regem de modo procedendi ut facilius et commodius dictam insulam [Sardiniae] consequatur
Fulcherius Carnotensis	<Fulcherio di Chartres>	Historia Iherololymitana Francorum Iherusalem peregrinantium
Gabrielis de Pechwarodino	<Gabriel de Pécsvárad>	Compendium locorum Terrae Sanctae
Galvanus Flamma	<Galvanus de la Flamma, Galvagnus de Flama, Galvano Fiamma>	Chronica extravagans
Geographus Bavarus	<Geografo Bavarese>	Descriptio civitatum ad septentrionalem plagam Danubii
Georgius Alte	<Georg Alt>	Descriptio Nuremberge
Georgius Emmerichius	<Georg Hemmerich>	Descriptio peregrinationis ad Terram Sanctam
Georgius Sisgoreus Sibenicensis	<Juraj Šižgorić>	De situ Illyriae et civitate Sebenici
Gervasius Tilberiensis	<Gervasio di Tilbury, Gervase of Tilbury>	Otia imperialia
Gilbertus Grineus	<Gilberto Grineo>	Topographia divi Hieronymi Sacelli
Gilo Parisiensis	<Gilles di Parigi>	Historia gestorum viae nostri temporis Ierosolymitanae
Giraldus Cambrensis	<Giraldo del Galles, Giraldo di Barri, Giraldo Cambrense>	Descriptio Kambriae
Giraldus Cambrensis	<Giraldo del Galles, Giraldo di Barri, Giraldo Cambrense>	Itinerarium Kambriae
Giraldus Cambrensis	<Giraldo del Galles, Giraldo di Barri, Giraldo Cambrense>	Topographia Hiberniae
Gregorius Terracinensis	<Gregorio da Terracina>	Versus de transitu peregrinorum ad sepulcrum Domini et captione Hierosolymitanae urbis
Gregorius magister	<Maestro Gregorio>	De mirabilibus urbis Romae
Gryphon Flamengus	<Grifone delle Fiandre, Grifon de Flandres>	Supplementum modernorum ad cosmographiam et chronographiam antiquorum super rebus Orientis
Guibertus Tornacensis	<Guibert van Doornik, Guibertus de Tornaco, Guibert de Tournai>	De locis mundis
Guibertus Tornacensis	<Guibert van Doornik, Guibertus de Tornaco, Guibert de Tournai>	Hodoeporicon primae profectionis Ludovici Galliae regis in Syriam
Guido de Basochis	<Guido di Bazoches, Guy de Bazoches>	Libellus de regionibus mundi
Guidus Pisanus	<Guido Pisanus>	Compilatio geographica et historica Egertoniana
Guidus Pisanus	<Guido Pisanus>	Liber compositus de variis historiis pro diversis utilitatibus lectori proventuris
Guilielmus Gratorolus	<Guglielmo Grataroli>	De thermis Rhaeticis et Vallis Treschurii agri Bergomatis
Guilielmus de Boldensele	<Guillaume de Boldensele>	Liber de quibusdam ultramarinis partibus et praecipue de Terra Sancta
Guillelmus Caoursinus	<Guillaume Caoursin>	Obsidionis Rhodiae urbis descriptio
Guillelmus Frederici	<Willem Frederiks>	De Frisiorum situ, origine, moribus, rebus gestis et viris illustribus
Guillelmus Gaudensis	<Guillelmus de Gouda, Willem van Gouda>	Peregrinationes totius Terrae Sanctae
